년도,분기,행정동,운영평균,폐업평균,서울운영평균,서울시폐업평균
2019,3,신월2동,113,51,109,53
2019,3,신월1동,111,48,109,53
2019,3,목5동,97,51,109,53
2019,3,목4동,103,46,109,53
2019,3,목3동,106,51,109,53
2019,3,목2동,103,52,109,53
2019,3,목2동,102,52,106,52
2019,3,목1동,94,50,109,53
2019,3,상암동,66,44,109,53
2019,3,성산2동,102,57,109,53
2019,3,성산1동,97,51,109,53
2019,3,연남동,63,48,109,53
2019,3,망원2동,99,48,109,53
2019,3,망원1동,86,50,109,53
2019,3,합정동,86,49,109,53
2019,3,서교동,81,47,109,53
2019,3,서강동,84,47,109,53
2019,3,신수동,110,55,109,53
2019,3,염리동,106,56,109,53
2019,3,염리동,106,55,106,52
2019,3,대흥동,115,55,109,53
2019,3,용강동,107,53,109,53
2019,3,도화동,105,54,109,53
2019,3,공덕동,117,57,109,53
2019,3,아현동,110,54,109,53
2019,3,북가좌2동,108,52,109,53
2019,3,북가좌2동,106,52,106,52
2019,3,북가좌1동,93,49,109,53
2019,3,남가좌2동,105,53,109,53
2019,3,남가좌1동,124,62,109,53
2019,3,홍은2동,109,57,109,53
2019,3,홍은2동,108,56,106,52
2019,3,홍은1동,119,58,109,53
2019,3,홍제2동,118,58,109,53
2019,3,홍제3동,118,62,109,53
2019,3,홍제1동,116,55,109,53
2019,3,연희동,108,55,109,53
2019,3,연희동,108,55,106,52
2019,3,신촌동,111,51,109,53
2019,3,충현동,121,60,109,53
2019,3,북아현동,130,63,109,53
2019,3,천연동,120,58,109,53
2019,3,진관동,62,45,109,53
2019,3,수색동,155,69,109,53
2019,3,증산동,120,55,109,53
2019,3,신사2동,107,52,109,53
2019,3,신사2동,106,51,106,52
2019,3,신사1동,105,49,109,53
2019,3,역촌동,99,49,109,53
2019,3,응암3동,115,54,109,53
2019,3,응암2동,87,56,109,53
2019,3,응암1동,111,54,109,53
2019,3,대조동,104,52,109,53
2019,3,구산동,99,53,109,53
2019,3,구산동,98,53,106,52
2019,3,갈현2동,94,50,109,53
2019,3,갈현1동,101,50,109,53
2019,3,불광2동,108,55,109,53
2019,3,불광2동,110,54,106,52
2019,3,불광1동,106,54,109,53
2019,3,불광1동,106,54,106,52
2019,3,녹번동,107,54,109,53
2019,3,상계10동,100,51,109,53
2019,3,상계9동,110,52,109,53
2019,3,상계8동,109,57,109,53
2019,3,상계8동,109,58,106,52
2019,3,상계6.7동,104,49,109,53
2019,3,상계5동,107,50,109,53
2019,3,상계5동,106,49,106,52
2019,3,상계3.4동,116,56,109,53
2019,3,상계2동,92,46,109,53
2019,3,상계1동,94,49,109,53
2019,3,중계2.3동,102,52,109,53
2019,3,중계4동,95,48,109,53
2019,3,중계1동,96,50,109,53
2019,3,중계본동,89,50,109,53
2019,3,하계2동,115,60,109,53
2019,3,하계1동,104,55,109,53
2019,3,하계1동,106,53,106,52
2019,3,공릉2동,92,51,109,53
2019,3,공릉1동,106,52,109,53
2019,3,공릉1동,103,52,106,52
2019,3,월계3동,104,50,109,53
2019,3,월계2동,98,55,109,53
2019,3,월계1동,103,53,109,53
2019,3,월계1동,104,53,106,52
2019,3,방학3동,102,54,109,53
2019,3,방학2동,101,49,109,53
2019,3,방학1동,101,48,109,53
2019,3,쌍문4동,97,51,109,53
2019,3,쌍문3동,102,51,109,53
2019,3,쌍문2동,99,50,109,53
2019,3,쌍문1동,102,51,109,53
2019,3,도봉2동,102,49,109,53
2019,3,도봉1동,111,52,109,53
2019,3,창5동,99,49,109,53
2019,3,창4동,110,51,109,53
2019,3,창3동,108,53,109,53
2019,3,창3동,108,52,106,52
2019,3,창2동,100,51,109,53
2019,3,창1동,96,50,109,53
2019,3,인수동,99,51,109,53
2019,3,우이동,103,53,109,53
2019,3,우이동,102,52,106,52
2019,3,수유3동,104,48,109,53
2019,3,수유2동,103,51,109,53
2019,3,수유1동,116,53,109,53
2019,3,수유1동,115,52,106,52
